057,"Statoil Petroleum AS",2009-11-02
058,"Norwegian Gulf Exploration Company AS",1979-04-06
059,"Saga Petroleum ASA",1980-08-18
060,"Den norske stats oljeselskap a.s",1980-01-18
061,"Norsk Hydro Produksjon AS",1980-01-18
062,"Statoil Petroleum AS",2009-11-02
063,"Norsk Hydro Produksjon AS",1981-03-27
064,"Statoil Petroleum AS",2009-11-02
065,"BP Norge AS",2002-03-12
066,"Amerada Hess Norge AS",1999-01-01
067,"Norsk Agip  AS",1991-08-01
068,"Norsk Hydro Produksjon AS",1981-08-21
069,"Saga Petroleum ASA",1996-08-26
070,"Norsk Hydro Produksjon AS",1981-08-21
071,"Den norske stats oljeselskap a.s",1981-08-21
072,"ExxonMobil Exploration & Production Norway AS",2004-10-01
"072 B","Statoil Petroleum AS",2009-11-02
"072 C","Statoil Petroleum AS",2011-12-21
073,"Statoil Petroleum AS",2009-11-02
"073 B","Statoil Petroleum AS",2009-11-02
074,"Statoil Petroleum AS",2009-11-02
"074 B","Statoil Petroleum AS",2009-11-01
075,"BP Petroleum Dev. of Norway AS",1982-04-23
076,"Norsk Hydro Produksjon AS",1982-04-23
077,"Statoil Petroleum AS",2009-11-02
078,"Statoil Petroleum AS",2009-11-02
079,"Statoil Petroleum AS",2009-11-02
080,"Den norske stats oljeselskap a.s",1982-12-10
081,"Phillips Petroleum Company Norway",1982-12-10
082,"Saga Petroleum ASA",1982-12-10
083,"Norsk Hydro Produksjon AS",1982-12-10
084,"Den norske stats oljeselskap a.s",1982-12-10
085,"Statoil Petroleum AS",2009-11-02
"085 B","Statoil Petroleum AS",2009-11-02
"085 C","Statoil Petroleum AS",2009-11-02
"085 D","StatoilHydro Petroleum AS",2007-10-01
086,"Saga Petroleum ASA",1995-09-01
087,"Norsk Hydro Produksjon AS",1984-03-09
088,"Centrica Resources (Norge) AS",2011-12-06
"088 BS","Marathon Oil Norge AS",2011-07-04
089,"Statoil Petroleum AS",2009-11-02
090,"Statoil Petroleum AS",2009-11-02
"090 B","Statoil Petroleum AS",2009-11-02
"090 C","Statoil Petroleum AS",2009-11-02
"090 D","Statoil Petroleum AS",2009-11-02
"090 E","Statoil Petroleum AS",2010-02-19
"090 F","Statoil Petroleum AS",2013-01-22
"090 G","Statoil Petroleum AS",2013-01-22
"090 HS","Statoil Petroleum AS",2013-04-09
091,"Statoil Petroleum AS",2009-11-02
"091 B","StatoilHydro Petroleum AS",2009-01-01
